frame_count,id,x,y,color
0,2,880,528,blue
0,3,1147,302,blue
0,4,620,493,red
0,5,923,296,blue
0,6,608,333,red
0,7,429,237,red
0,8,294,361,red
0,9,1241,396,blue
0,10,620,273,blue
0,11,845,397,blue
0,12,268,299,red
0,13,968,331,blue
0,14,1031,226,blue
0,15,716,216,blue
0,16,161,227,red
0,17,516,188,red
0,18,921,254,blue
1,2,878,528,blue
1,3,1147,302,blue
1,4,621,493,red
1,6,608,333,red
1,7,429,237,red
1,11,842,397,blue
1,16,161,238,red
1,5,923,296,blue
1,8,295,361,red
1,10,620,273,blue
1,9,1240,396,blue
1,12,269,299,red
1,13,969,331,blue
1,14,1031,226,blue
1,15,716,216,blue
1,17,516,188,red
1,18,919,251,blue
2,2,880,528,blue
2,3,1148,302,blue
2,4,620,493,red
2,16,161,238,red
2,6,608,332,red
2,7,430,237,red
2,11,839,397,blue
2,10,620,272,blue
2,8,295,360,red
2,12,269,299,red
2,5,922,295,blue
2,13,970,330,blue
2,9,1241,397,blue
2,14,1030,226,blue
2,15,717,216,blue
2,17,517,188,red
2,18,918,251,blue
3,2,884,527,blue
3,3,1147,303,blue
3,4,620,493,red
3,16,161,239,red
3,13,971,331,blue
3,11,836,398,blue
3,12,270,299,red
3,6,609,332,red
3,7,430,237,red
3,9,1242,396,blue
3,10,621,272,blue
3,8,295,360,red
3,5,920,296,blue
3,17,517,187,red
3,14,1030,226,blue
3,15,717,216,blue
3,18,917,250,blue
4,9,1243,396,blue
4,3,1147,302,blue
4,2,886,522,blue
4,11,834,397,blue
4,13,971,332,blue
4,4,620,493,red
4,12,271,299,red
4,6,609,332,red
4,16,160,238,red
4,7,430,237,red
4,10,621,272,blue
4,8,296,360,red
4,5,918,296,blue
4,15,717,216,blue
4,14,1029,226,blue
4,17,518,187,red
4,18,917,250,blue
4,20,919,279,blue
5,2,887,522,blue
5,9,1243,396,blue
5,4,620,493,red
5,13,972,332,blue
5,3,1146,303,blue
5,11,833,398,blue
5,12,271,299,red
5,8,297,360,red
5,7,429,237,red
5,6,609,332,red
5,10,622,272,blue
5,16,158,238,red
5,17,520,187,red
5,5,916,295,blue
5,14,1028,226,blue
5,15,718,215,blue
5,21,1031,216,blue
5,18,917,257,blue
5,20,918,281,blue
6,2,889,525,blue
6,11,830,397,blue
6,4,620,493,red
6,13,972,332,blue
6,8,298,360,red
6,7,429,237,red
6,12,272,299,red
6,6,609,332,red
6,16,155,238,red
6,3,1145,303,blue
6,10,623,272,blue
6,5,915,296,blue
6,17,520,188,red
6,14,1028,226,blue
6,15,718,216,blue
6,21,1031,217,blue
6,18,916,272,blue
7,2,890,528,blue
7,4,620,492,red
7,11,824,397,blue
7,7,428,237,red
